stn;time;rre150d0
CDF;19000923;4.2
CDF;19000924;5.0
CDF;19000925;6.7
CDF;19000926;0.4
CDF;19000927;7.1
CDF;19000928;8.7
CDF;19000929;2.0
CDF;19000930;2.0
CDF;19001001;0.0
CDF;19001002;9.9
CDF;19001003;7.1
CDF;19001004;4.6
CDF;19001005;1.9
CDF;19001006;0.0
CDF;19001007;0.0
CDF;19001008;0.0
CDF;19001009;0.0
CDF;19001010;8.5
CDF;19001011;0.0
CDF;19001012;0.0
CDF;19001013;0.3
CDF;19001014;7.3
CDF;19001015;0.0
CDF;19001016;0.0
CDF;19001017;7.9
CDF;19001018;6.1
CDF;19001019;0.0
CDF;19001020;1.2
CDF;19001021;0.4
CDF;19001022;0.4
CDF;19001023;0.0
CDF;19001024;0.0
CDF;19001025;0.0
CDF;19001026;6.0
CDF;19001027;1.8
CDF;19001028;4.1
CDF;19001029;20.6
CDF;19001030;0.0
CDF;19001031;0.0
CDF;19001101;7.8
CDF;19001102;0.5
CDF;19001103;3.0
CDF;19001104;3.1
CDF;19001105;0.0
CDF;19001106;5.3
CDF;19001107;13.7
CDF;19001108;0.0
CDF;19001109;0.0
CDF;19001110;2.3
CDF;19001111;0.6
CDF;19001112;0.0
CDF;19001113;0.0
CDF;19001114;4.5
CDF;19001115;2.0
CDF;19001116;3.7
CDF;19001117;8.5
CDF;19001118;14.3
CDF;19001119;0.0
CDF;19001120;0.0
CDF;19001121;0.0
CDF;19001122;0.2
CDF;19001123;0.3
CDF;19001124;0.2
CDF;19001125;19.7
CDF;19001126;0.8
CDF;19001127;0.0
CDF;19001128;0.0
CDF;19001129;0.0
CDF;19001130;0.1
CDF;19001201;0.8
CDF;19001202;0.1
CDF;19001203;0.0
CDF;19001204;32.0
CDF;19001205;43.1
CDF;19001206;28.3
CDF;19001207;18.3
CDF;19001208;0.0
CDF;19001209;0.0
CDF;19001210;0.0
CDF;19001211;0.0
CDF;19001212;0.0
CDF;19001213;0.0
CDF;19001214;0.0
CDF;19001215;0.0
CDF;19001216;0.0
CDF;19001217;0.0
CDF;19001218;0.0
CDF;19001219;0.0
CDF;19001220;0.0
CDF;19001221;3.5
CDF;19001222;3.4
CDF;19001223;3.5
CDF;19001224;0.3
CDF;19001225;0.0
CDF;19001226;0.0
CDF;19001227;5.2
CDF;19001228;5.8
CDF;19001229;4.4
CDF;19001230;0.0
CDF;19001231;1.4
CDF;19010101;1.9
CDF;19010102;5.0
CDF;19010103;0.0
CDF;19010104;0.0
CDF;19010105;0.3
CDF;19010106;0.0
CDF;19010107;0.0
CDF;19010108;0.2
CDF;19010109;0.0
CDF;19010110;0.0
CDF;19010111;0.1
CDF;19010112;0.0
CDF;19010113;0.0
CDF;19010114;0.0
CDF;19010115;0.0
CDF;19010116;0.0
CDF;19010117;0.0
CDF;19010118;0.0
CDF;19010119;0.0
CDF;19010120;7.9
CDF;19010121;3.2
CDF;19010122;0.0
CDF;19010123;0.0
CDF;19010124;0.0
CDF;19010125;1.8
CDF;19010126;29.1
CDF;19010127;45.1
CDF;19010128;16.6
CDF;19010129;11.4
CDF;19010130;0.6
CDF;19010131;0.1
CDF;19010201;13.6
CDF;19010202;0.0
CDF;19010203;2.3
CDF;19010204;10.0
CDF;19010205;6.3
CDF;19010206;2.2
CDF;19010207;0.5
CDF;19010208;0.0
CDF;19010209;0.0
CDF;19010210;0.1
CDF;19010211;1.2
CDF;19010212;1.6
CDF;19010213;6.2
CDF;19010214;0.0
CDF;19010215;0.0
CDF;19010216;6.7
CDF;19010217;6.8
